Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
4                 0.01300000        -78.30895225      -0.73462636       
5                 0.01300000        -78.24607529      -0.15700385       
6                 0.01300000        -78.24395517      -0.22102681       
7                 0.01300000        -78.17515339      -0.91619017       
8                 0.01300000        -78.17376182      -0.94800544       
9                 0.01300000        -78.15781765      -0.43923018       
10                0.01300000        -78.15758187      -0.43217029       
1                 0.01350000        -78.36658694      -1.46753302       
2                 0.01350000        -78.37821821      -0.12883478       
3                 0.01350000        -78.33106747      -0.01081993       
4                 0.01350000        -78.30893413      -0.76320292       
5                 0.01350000        -78.24581511      -0.15851860       
6                 0.01350000        -78.24470197      -0.23441730       
7                 0.01350000        -78.17515310      -0.95143665       
8                 0.01350000        -78.17376551      -0.98448428       
9                 0.01350000        -78.15782200      -0.45611070       
10                0.01350000        -78.15758216      -0.44878382       
1                 0.01400000        -78.36657823      -1.52201516       
2                 0.01400000        -78.37790692      -0.13313707       
3                 0.01400000        -78.33094238      -0.01088950       
4                 0.01400000        -78.30891767      -0.79176825       
5                 0.01400000        -78.24567600      -0.16063612       
6                 0.01400000        -78.24529516      -0.24722181       
7                 0.01400000        -78.17515284      -0.98668284       
8                 0.01400000        -78.17376896      -1.02096273       
9                 0.01400000        -78.15782600      -0.47299168       
10                0.01400000        -78.15758243      -0.46539765       
1                 0.01450000        -78.36657040      -1.57649306       
2                 0.01450000        -78.37761630      -0.13743556       
3                 0.01450000        -78.33082508      -0.01096354       
4                 0.01450000        -78.30890268      -0.82032351       
5                 0.01450000        -78.24579341      -0.25963212       
6                 0.01450000        -78.24560157      -0.16316142       
7                 0.01450000        -78.17515260      -1.02192877       
8                 0.01450000        -78.17377219      -1.05744084       
9                 0.01450000        -78.15782970      -0.48987309       
10                0.01450000        -78.15758266      -0.48201173       
1                 0.01500000        -78.36656332      -1.63096712       
2                 0.01500000        -78.37734501      -0.14173183       
3                 0.01500000        -78.33071496      -0.01104178       
4                 0.01500000        -78.30888900      -0.84886969       
5                 0.01500000        -78.24622496      -0.27175696       
6                 0.01500000        -78.24556576      -0.16598307       
7                 0.01500000        -78.17515239      -1.05717447       
8                 0.01500000        -78.17377522      -1.09391861       
9                 0.01500000        -78.15783311      -0.50675487       
10                0.01500000        -78.15758287      -0.49862606       
1                 0.01550000        -78.36655690      -1.68543770       
2                 0.01550000        -78.37709169      -0.14602719       
3                 0.01550000        -78.33061147      -0.01112398       
4                 0.01550000        -78.30887647      -0.87740767       
5                 0.01550000        -78.24660582      -0.28366439       
6                 0.01550000        -78.24555465      -0.16903071       
7                 0.01550000        -78.17515219      -1.09241994       
8                 0.01550000        -78.17377805      -1.13039609       
9                 0.01550000        -78.15783628      -0.52363699       
10                0.01550000        -78.15758307      -0.51524060       
1                 0.01600000        -78.36655107      -1.73990513       
2                 0.01600000        -78.37685500      -0.15032270       
3                 0.01600000        -78.33051413      -0.01120992       
4                 0.01600000        -78.30886497      -0.90593820       
5                 0.01600000        -78.24694615      -0.29540006       
6                 0.01600000        -78.24556009      -0.17225679       
7                 0.01600000        -78.17515202      -1.12766523       
8                 0.01600000        -78.17378070      -1.16687329       
9                 0.01600000        -78.15783921      -0.54051942       
10                0.01600000        -78.15758324      -0.53185533       
1                 0.01650000        -78.36654575      -1.79436969       
2                 0.01650000        -78.37663367      -0.15461921       
3                 0.01650000        -78.33042249      -0.01129942       
4                 0.01650000        -78.30885439      -0.93446197       
5                 0.01650000        -78.24725293      -0.30699619       
6                 0.01650000        -78.24557697      -0.17562747       
7                 0.01650000        -78.17515186      -1.16291034       
8                 0.01650000        -78.17378319      -1.20335023       
9                 0.01650000        -78.15784193      -0.55740213       
10                0.01650000        -78.15758340      -0.54847024       
1                 0.01700000        -78.36654088      -1.84883162       
2                 0.01700000        -78.37642648      -0.15891742       
3                 0.01700000        -78.33033615      -0.01139231       
4                 0.01700000        -78.30884465      -0.96297956       
5                 0.01700000        -78.24753126      -0.31847642       
6                 0.01700000        -78.24560191      -0.17911775       
7                 0.01700000        -78.17515171      -1.19815529       
8                 0.01700000        -78.17378553      -1.23982693       
9                 0.01700000        -78.15784447      -0.57428510       
10                0.01700000        -78.15758355      -0.56508531       
1                 0.01750000        -78.36653643      -1.90329115       
2                 0.01750000        -78.37623228      -0.16321784       
3                 0.01750000        -78.33025474      -0.01148842       
4                 0.01750000        -78.30883564      -0.99149150       
5                 0.01750000        -78.24778506      -0.32985868       
6                 0.01750000        -78.24563263      -0.18270860       
7                 0.01750000        -78.17515158      -1.23340009       
8                 0.01750000        -78.17378772      -1.27630341       
9                 0.01750000        -78.15784682      -0.59116831       
10                0.01750000        -78.15758368      -0.58170053       
1                 0.01800000        -78.36653233      -1.95774847       
2                 0.01800000        -78.37605001      -0.16752089       
3                 0.01800000        -78.33017792      -0.01158761       
4                 0.01800000        -78.30882731      -1.01999827       
5                 0.01800000        -78.24801746      -0.34115691       
6                 0.01800000        -78.24566750      -0.18638516       
7                 0.01800000        -78.17515146      -1.26864475       
8                 0.01800000        -78.17378978      -1.31277967       
9                 0.01800000        -78.15784902      -0.60805173       
10                0.01800000        -78.15758380      -0.59831588       
1                 0.01850000        -78.36652856      -2.01220376       
2                 0.01850000        -78.37587866      -0.17182687       
3                 0.01850000        -78.33010538      -0.01168976       
4                 0.01850000        -78.30881958      -1.04850027       
5                 0.01850000        -78.24823097      -0.35238218       
6                 0.01850000        -78.24570538      -0.19013558       
7                 0.01850000        -78.17515135      -1.30388929       
8                 0.01850000        -78.17379171      -1.34925573       
9                 0.01850000        -78.15785108      -0.62493536       
10                0.01850000        -78.15758392      -0.61493135       
1                 0.01900000        -78.36652507      -2.06665717       
2                 0.01900000        -78.37571733      -0.17613601       
3                 0.01900000        -78.33003684      -0.01179474       
4                 0.01900000        -78.30881241      -1.07699789       
5                 0.01900000        -78.24842773      -0.36354345       
6                 0.01900000        -78.24574541      -0.19395028       
7                 0.01900000        -78.17515124      -1.33913372       
8                 0.01900000        -78.17379353      -1.38573160       
9                 0.01900000        -78.15785300      -0.64181916       
10                0.01900000        -78.15758402      -0.63154694       
1                 0.01950000        -78.36652185      -2.12110885       
2                 0.01950000        -78.37556517      -0.18044844       
3                 0.01950000        -78.32997203      -0.01190243       
4                 0.01950000        -78.30880573      -1.10549145       
5                 0.01950000        -78.24860950      -0.37464811       
6                 0.01950000        -78.24578699      -0.19782138       
7                 0.01950000        -78.17515115      -1.37437804       
8                 0.01950000        -78.17379524      -1.42220730       
9                 0.01950000        -78.15785479      -0.65870314       
10                0.01950000        -78.15758412      -0.64816264       
1                 0.02000000        -78.36651887      -2.17555893       
2                 0.02000000        -78.37542141      -0.18476427       
3                 0.02000000        -78.32991071      -0.01201272       
4                 0.02000000        -78.30879951      -1.13398127       
5                 0.02000000        -78.24877784      -0.38570229       
6                 0.02000000        -78.24582965      -0.20174232       
7                 0.02000000        -78.17515106      -1.40962227       
8                 0.02000000        -78.17379686      -1.45868283       
9                 0.02000000        -78.15785648      -0.67558727       
10                0.02000000        -78.15758420      -0.66477843       
1                 0.02050000        -78.36651610      -2.23000752       
2                 0.02050000        -78.37528534      -0.18908354       
3                 0.02050000        -78.32985264      -0.01212552       
4                 0.02050000        -78.30879371      -1.16246762       
5                 0.02050000        -78.24893405      -0.39671116       
6                 0.02050000        -78.24587305      -0.20570758       
7                 0.02050000        -78.17515098      -1.44486640       
8                 0.02050000        -78.17379838      -1.49515821       
9                 0.02050000        -78.15785806      -0.69247154       
10                0.02050000        -78.15758429      -0.68139432       
1                 0.02100000        -78.36651352      -2.28445473       
2                 0.02100000        -78.37515632      -0.19340628       
3                 0.02100000        -78.32979763      -0.01224071       
4                 0.02100000        -78.30878828      -1.19095074       
5                 0.02100000        -78.24907930      -0.40767916       
6                 0.02100000        -78.24591692      -0.20971248       
7                 0.02100000        -78.17515090      -1.48011045       
8                 0.02100000        -78.17379981      -1.53163344       
9                 0.02100000        -78.15785954      -0.70935595       
10                0.02100000        -78.15758436      -0.69801028       
1                 0.02150000        -78.36651112      -2.33890065       
2                 0.02150000        -78.37503375      -0.19773246       
3                 0.02150000        -78.32974547      -0.01235822       
4                 0.02150000        -78.30878320      -1.21943087       
5                 0.02150000        -78.24921460      -0.41861008       
6                 0.02150000        -78.24596107      -0.21375301       
7                 0.02150000        -78.17515083      -1.51535442       
8                 0.02150000        -78.17380117      -1.56810852       
9                 0.02150000        -78.15786093      -0.72624049       
10                0.02150000        -78.15758443      -0.71462633       
1                 0.02200000        -78.36650888      -2.39334537       
2                 0.02200000        -78.37491710      -0.20206204       
3                 0.02200000        -78.32969599      -0.01247795       
4                 0.02200000        -78.30877844      -1.24790819       
5                 0.02200000        -78.24934084      -0.42950720       
6                 0.02200000        -78.24600537      -0.21782571       
7                 0.02200000        -78.17515076      -1.55059832       
8                 0.02200000        -78.17380245      -1.60458348       
9                 0.02200000        -78.15786225      -0.74312514       
10                0.02200000        -78.15758450      -0.73124245       
1                 0.02250000        -78.36650679      -2.44778896       
2                 0.02250000        -78.37480587      -0.20639498       
3                 0.02250000        -78.32964902      -0.01259982       
4                 0.02250000        -78.30877398      -1.27638291       
5                 0.02250000        -78.24945883      -0.44037342       
6                 0.02250000        -78.24604970      -0.22192758       
7                 0.02250000        -78.17515070      -1.58584215       
8                 0.02250000        -78.17380366      -1.64105831       
9                 0.02250000        -78.15786349      -0.76000990       
10                0.02250000        -78.15758456      -0.74785864       
1                 0.02300000        -78.36650483      -2.50223151       
2                 0.02300000        -78.37469961      -0.21073121       
3                 0.02300000        -78.32960440      -0.01272375       
4                 0.02300000        -78.30876978      -1.30485519       
5                 0.02300000        -78.24956926      -0.45121125       
6                 0.02300000        -78.24609399      -0.22605599       
7                 0.02300000        -78.17515064      -1.62108592       
8                 0.02300000        -78.17380481      -1.67753302       
9                 0.02300000        -78.15786465      -0.77689476       
10                0.02300000        -78.15758462      -0.76447489       
1                 0.02350000        -78.36650299      -2.55667307       
2                 0.02350000        -78.37459792      -0.21507065       
3                 0.02350000        -78.32956199      -0.01284965       
4                 0.02350000        -78.30876583      -1.33332518       
5                 0.02350000        -78.24967276      -0.46202293       
6                 0.02350000        -78.24613818      -0.23020865       
7                 0.02350000        -78.17515059      -1.65632963       
8                 0.02350000        -78.17380590      -1.71400762       
9                 0.02350000        -78.15786576      -0.79377971       
10                0.02350000        -78.15758468      -0.78109119       
1                 0.02400000        -78.36650126      -2.61111371       
2                 0.02400000        -78.37450041      -0.21941321       
3                 0.02400000        -78.32952166      -0.01297746       
4                 0.02400000        -78.30876211      -1.36179304       
5                 0.02400000        -78.24976991      -0.47281046       
6                 0.02400000        -78.24618224      -0.23438352       
7                 0.02400000        -78.17515054      -1.69157328       
8                 0.02400000        -78.17380692      -1.75048212       
9                 0.02400000        -78.15786680      -0.81066476       
10                0.02400000        -78.15758473      -0.79770756       
1                 0.02450000        -78.36649964      -2.66555349       
2                 0.02450000        -78.37440675      -0.22375881       
3                 0.02450000        -78.32948327      -0.01310710       
4                 0.02450000        -78.30875860      -1.39025888       
5                 0.02450000        -78.24986122      -0.48357560       
6                 0.02450000        -78.24622615      -0.23857880       
7                 0.02450000        -78.17380790      -1.78695651       
8                 0.02450000        -78.17515049      -1.72681688       
9                 0.02450000        -78.15786778      -0.82754988       
10                0.02450000        -78.15758477      -0.81432398       
1                 0.02500000        -78.36649812      -2.71999245       
2                 0.02500000        -78.37431662      -0.22810735       
3                 0.02500000        -78.32944672      -0.01323851       
4                 0.02500000        -78.30875529      -1.41872283       
5                 0.02500000        -78.24994713      -0.49431996       
6                 0.02500000        -78.24626988      -0.24279287       
7                 0.02500000        -78.17380883      -1.82343081       
8                 0.02500000        -78.17515044      -1.76206043       
9                 0.02500000        -78.15786872      -0.84443509       
10                0.02500000        -78.15758482      -0.83094044       
1                 0.02550000        -78.36649668      -2.77443064       
2                 0.02550000        -78.37422974      -0.23245874       
3                 0.02550000        -78.32941190      -0.01337163       
4                 0.02550000        -78.30875217      -1.44718501       
5                 0.02550000        -78.25002807      -0.50504497       
6                 0.02550000        -78.24631345      -0.24702431       
7                 0.02550000        -78.17380971      -1.85990501       
8                 0.02550000        -78.17515040      -1.79730393       
9                 0.02550000        -78.15786960      -0.86132036       
10                0.02550000        -78.15758486      -0.84755696       
1                 0.02600000        -78.36649533      -2.82886810       
2                 0.02600000        -78.37414584      -0.23681289       
3                 0.02600000        -78.32937870      -0.01350638       
4                 0.02600000        -78.30874921      -1.47564551       
5                 0.02600000        -78.25010442      -0.51575192       
6                 0.02600000        -78.24635684      -0.25127183       
7                 0.02600000        -78.17381055      -1.89637913       
8                 0.02600000        -78.17515036      -1.83254740       
9                 0.02600000        -78.15787044      -0.87820571       
10                0.02600000        -78.15758490      -0.86417351       
1                 0.02650000        -78.36649405      -2.88330489       
2                 0.02650000        -78.37406468      -0.24116969       
3                 0.02650000        -78.32934704      -0.01364271       
4                 0.02650000        -78.30874641      -1.50410444       
5                 0.02650000        -78.25017650      -0.52644200       
6                 0.02650000        -78.24640007      -0.25553427       
7                 0.02650000        -78.17381134      -1.93285316       
8                 0.02650000        -78.17515032      -1.86779081       
9                 0.02650000        -78.15787124      -0.89509112       
10                0.02650000        -78.15758494      -0.88079011       
1                 0.02700000        -78.36649284      -2.93774103       
2                 0.02700000        -78.37398605      -0.24552905       
3                 0.02700000        -78.32931681      -0.01378056       
4                 0.02700000        -78.30874375      -1.53256187       
5                 0.02700000        -78.25024464      -0.53711627       
6                 0.02700000        -78.24644314      -0.25981058       
7                 0.02700000        -78.17381210      -1.96932711       
8                 0.02700000        -78.17515029      -1.90303420       
9                 0.02700000        -78.15787199      -0.91197659       
10                0.02700000        -78.15758498      -0.89740675       
1                 0.02750000        -78.36649169      -2.99217656       
2                 0.02750000        -78.37390972      -0.24989089       
3                 0.02750000        -78.32928795      -0.01391988       
4                 0.02750000        -78.30874123      -1.56101789       
5                 0.02750000        -78.25030911      -0.54777572       
6                 0.02750000        -78.24648607      -0.26409982       
7                 0.02750000        -78.17381283      -2.00580099       
8                 0.02750000        -78.17515025      -1.93827754       
9                 0.02750000        -78.15787271      -0.92886212       
10                0.02750000        -78.15758501      -0.91402342       
1                 0.02800000        -78.36649061      -3.04661151       
2                 0.02800000        -78.37383553      -0.25425511       
3                 0.02800000        -78.32926037      -0.01406061       
4                 0.02800000        -78.30873884      -1.58947257       
5                 0.02800000        -78.25037018      -0.55842123       
6                 0.02800000        -78.24652888      -0.26840113       
7                 0.02800000        -78.17381351      -2.04227480       
8                 0.02800000        -78.17515022      -1.97352085       
9                 0.02800000        -78.15787340      -0.94574770       
10                0.02800000        -78.15758504      -0.93064013       
1                 0.02850000        -78.36648958      -3.10104591       
2                 0.02850000        -78.37376330      -0.25862162       
3                 0.02850000        -78.32923400      -0.01420271       
4                 0.02850000        -78.30873657      -1.61792599       
5                 0.02850000        -78.25042807      -0.56905363       
6                 0.02850000        -78.24657158      -0.27271373       
7                 0.02850000        -78.17381417      -2.07874853       
8                 0.02850000        -78.17515019      -2.00876412       
9                 0.02850000        -78.15787405      -0.96263333       
