Trajectory for A states:
State             eta               Uncorr_Re         Uncorr_Im         
5                 0.02700000        -109.33154149     -1.22528610       
1                 0.02750000        -109.34116465     -5.97217631       
2                 0.02750000        -109.35039696     -4.41905028       
3                 0.02750000        -109.35029409     -3.91945350       
4                 0.02750000        -109.35363778     -2.48187721       
5                 0.02750000        -109.33154149     -1.24797521       
1                 0.02800000        -109.34116464     -6.08076267       
2                 0.02800000        -109.35039696     -4.49939665       
3                 0.02800000        -109.35029409     -3.99071629       
4                 0.02800000        -109.35363778     -2.52700225       
5                 0.02800000        -109.33154150     -1.27066434       
1                 0.02850000        -109.34116464     -6.18934900       
2                 0.02850000        -109.35039696     -4.57974302       
3                 0.02850000        -109.35029409     -4.06197908       
4                 0.02850000        -109.35363778     -2.57212729       
5                 0.02850000        -109.33154150     -1.29335349       
1                 0.02900000        -109.34116464     -6.29793530       
2                 0.02900000        -109.35039696     -4.66008938       
3                 0.02900000        -109.35029409     -4.13324187       
4                 0.02900000        -109.35363778     -2.61725233       
5                 0.02900000        -109.33154150     -1.31604266       
1                 0.02950000        -109.34116464     -6.40652159       
2                 0.02950000        -109.35039696     -4.74043575       
3                 0.02950000        -109.35029409     -4.20450466       
4                 0.02950000        -109.35363778     -2.66237737       
5                 0.02950000        -109.33154150     -1.33873186       
1                 0.03000000        -109.34116463     -6.51510786       
2                 0.03000000        -109.35039696     -4.82078212       
3                 0.03000000        -109.35029409     -4.27576745       
4                 0.03000000        -109.35363778     -2.70750241       
5                 0.03000000        -109.33154151     -1.36142107       
1                 0.03050000        -109.34116463     -6.62369411       
2                 0.03050000        -109.35039696     -4.90112849       
3                 0.03050000        -109.35029409     -4.34703024       
4                 0.03050000        -109.35363778     -2.75262745       
5                 0.03050000        -109.33154151     -1.38411031       
1                 0.03100000        -109.34116463     -6.73228034       
2                 0.03100000        -109.35039696     -4.98147486       
3                 0.03100000        -109.35029409     -4.41829303       
4                 0.03100000        -109.35363778     -2.79775249       
5                 0.03100000        -109.33154151     -1.40679956       
1                 0.03150000        -109.34116463     -6.84086655       
2                 0.03150000        -109.35039696     -5.06182123       
3                 0.03150000        -109.35029409     -4.48955583       
4                 0.03150000        -109.35363778     -2.84287753       
5                 0.03150000        -109.33154151     -1.42948883       
1                 0.03200000        -109.34116463     -6.94945275       
2                 0.03200000        -109.35039696     -5.14216760       
3                 0.03200000        -109.35029409     -4.56081862       
4                 0.03200000        -109.35363778     -2.88800257       
5                 0.03200000        -109.33154151     -1.45217811       
1                 0.03250000        -109.34116462     -7.05803893       
2                 0.03250000        -109.35039696     -5.22251396       
3                 0.03250000        -109.35029409     -4.63208141       
4                 0.03250000        -109.35363778     -2.93312761       
5                 0.03250000        -109.33154151     -1.47486741       
1                 0.03300000        -109.34116462     -7.16662509       
2                 0.03300000        -109.35039696     -5.30286033       
3                 0.03300000        -109.35029409     -4.70334420       
4                 0.03300000        -109.35363778     -2.97825265       
5                 0.03300000        -109.33154152     -1.49755673       
1                 0.03350000        -109.34116462     -7.27521125       
2                 0.03350000        -109.35039696     -5.38320670       
3                 0.03350000        -109.35029409     -4.77460699       
4                 0.03350000        -109.35363778     -3.02337769       
5                 0.03350000        -109.33154152     -1.52024606       
1                 0.03400000        -109.34116462     -7.38379739       
2                 0.03400000        -109.35039696     -5.46355307       
3                 0.03400000        -109.35029409     -4.84586978       
4                 0.03400000        -109.35363778     -3.06850273       
5                 0.03400000        -109.33154152     -1.54293540       
1                 0.03450000        -109.34116462     -7.49238351       
2                 0.03450000        -109.35039696     -5.54389944       
3                 0.03450000        -109.35029409     -4.91713257       
4                 0.03450000        -109.35363778     -3.11362777       
5                 0.03450000        -109.33154152     -1.56562476       
1                 0.03500000        -109.34116462     -7.60096963       
2                 0.03500000        -109.35039696     -5.62424581       
3                 0.03500000        -109.35029409     -4.98839536       
4                 0.03500000        -109.35363778     -3.15875281       
5                 0.03500000        -109.33154152     -1.58831413       
1                 0.03550000        -109.34116462     -7.70955573       
2                 0.03550000        -109.35039696     -5.70459218       
3                 0.03550000        -109.35029409     -5.05965815       
4                 0.03550000        -109.35363778     -3.20387786       
5                 0.03550000        -109.33154152     -1.61100351       
1                 0.03600000        -109.34116461     -7.81814182       
2                 0.03600000        -109.35039696     -5.78493855       
3                 0.03600000        -109.35029409     -5.13092094       
4                 0.03600000        -109.35363778     -3.24900290       
5                 0.03600000        -109.33154152     -1.63369290       
1                 0.03650000        -109.34116461     -7.92672790       
2                 0.03650000        -109.35039696     -5.86528491       
3                 0.03650000        -109.35029409     -5.20218373       
4                 0.03650000        -109.35363778     -3.29412794       
5                 0.03650000        -109.33154153     -1.65638230       
1                 0.03700000        -109.34116461     -8.03531397       
2                 0.03700000        -109.35039696     -5.94563128       
